,City,Date,TempHigh,TempLow,Summary
0,London,2017-07-29,68.91,60.14,Mostly cloudy in the morning.
1,London,2017-07-25,71.68,56.53,Mostly cloudy until evening.
2,London,2017-07-22,64.41,55.29,Light rain in the morning.
3,London,2017-07-21,71.01,54.66,Light rain overnight.
4,London,2017-05-20,59.93,43.88,Partly cloudy throughout the day.
5,London,2017-05-18,62.21,49.64,Light rain starting in the evening.
6,London,2017-05-06,59.61,48.94,Mostly cloudy throughout the day.
7,London,2017-04-03,62.47,42.28,Foggy in the morning.
8,London,2017-03-22,48.9,42.33,Light rain until afternoon.
9,London,2017-03-16,57.5,42.76,Foggy in the morning.
10,London,2017-02-26,53.17,48.52,Rain overnight.
11,London,2016-10-07,58.53,52.81,Mostly cloudy throughout the day.
12,London,2016-06-13,63.92,56.95,Mostly cloudy throughout the day.
13,London,2017-06-03,70.35,59.04,Partly cloudy throughout the day.
14,London,2017-05-21,68.25,47.46,Partly cloudy until evening.
15,London,2017-04-04,58.45,48.16,Mostly cloudy throughout the day.
16,London,2017-01-05,41.27,29.07,Clear throughout the day.
17,London,2016-09-21,70.79,56.82,Partly cloudy until evening.
18,London,2016-09-14,80.52,63.24,Partly cloudy in the evening.
19,London,2017-05-12,64.25,54.46,Foggy in the morning.
20,Paris,2017-06-28,73.43,62.48,Mostly cloudy throughout the day.
21,Paris,2017-06-17,80.79,54.96,"Partly cloudy starting in the afternoon, continuing until evening."
22,Paris,2017-05-02,61.44,45.38,Mostly cloudy throughout the day.
23,Paris,2017-04-30,65.25,43.93,Light rain starting in the evening.
24,Paris,2017-04-11,62.14,40.97,Partly cloudy throughout the day.
25,Paris,2017-03-20,54.15,49.89,Overcast throughout the day.
26,Paris,2017-03-07,49.99,40.49,Mostly cloudy throughout the day.
27,Paris,2017-02-16,55.51,43.74,Foggy overnight.
28,Paris,2017-01-24,34.64,26.69,Foggy throughout the day.
29,Paris,2016-12-07,51.65,34.36,Mostly cloudy until evening.
30,Paris,2016-10-08,61.31,49.25,Mostly cloudy until evening.
31,Paris,2016-10-02,63.81,49.37,Mostly cloudy until evening.
32,Paris,2016-10-01,64.14,54.09,Mostly cloudy throughout the day.
33,Paris,2016-09-16,69.48,57.95,Light rain in the evening.
34,Paris,2016-08-17,86.81,61.47,Mostly cloudy starting in the evening.
35,Paris,2016-08-09,71.67,55.64,"Partly cloudy starting in the afternoon, continuing until evening."
36,Paris,2016-07-31,75.88,61.75,Mostly cloudy throughout the day.
37,Paris,2016-07-28,76.33,64.67,Mostly cloudy throughout the day.
38,Paris,2016-07-26,75.34,58.95,Mostly cloudy throughout the day.
39,Paris,2016-07-24,81.8,60.35,Mostly cloudy starting in the afternoon.
40,Paris,2016-07-21,77.88,64.51,Mostly cloudy throughout the day.
41,Paris,2016-07-15,74.24,50.77,Mostly cloudy throughout the day.
42,Paris,2016-07-13,65.59,54.3,Mostly cloudy throughout the day.
43,Paris,2016-07-12,71.25,58.1,Light rain overnight.
44,Paris,2016-07-07,83.09,54.34,Partly cloudy starting in the evening.
