"","Hotel_City","Review_Date2"
"1","Amsterdam",2017-08-03
"3","Amsterdam",2017-07-31
"5","Amsterdam",2017-07-24
"7","Amsterdam",2017-07-17
"9","Amsterdam",2017-07-09
"10","Amsterdam",2017-07-08
"11","Amsterdam",2017-07-07
"12","Amsterdam",2017-07-06
"14","Amsterdam",2017-07-04
"16","Amsterdam",2017-07-03
"18","Amsterdam",2017-06-30
"19","Amsterdam",2017-06-29
"20","Amsterdam",2017-06-20
"21","Amsterdam",2017-06-19
"22","Amsterdam",2017-06-12
"23","Amsterdam",2017-06-10
"24","Amsterdam",2017-05-29
"25","Amsterdam",2017-05-27
"26","Amsterdam",2017-05-25
"28","Amsterdam",2017-05-22
"29","Amsterdam",2017-05-21
"30","Amsterdam",2017-05-16
"32","Amsterdam",2017-05-11
"34","Amsterdam",2017-05-09
"35","Amsterdam",2017-05-02
"36","Amsterdam",2017-04-27
"37","Amsterdam",2017-04-26
"38","Amsterdam",2017-04-20
"40","Amsterdam",2017-04-19
"41","Amsterdam",2017-04-18
"42","Amsterdam",2017-04-16
"43","Amsterdam",2017-04-14
"44","Amsterdam",2017-04-10
"45","Amsterdam",2017-04-05
"48","Amsterdam",2017-03-29
"49","Amsterdam",2017-03-22
"51","Amsterdam",2017-03-20
"52","Amsterdam",2017-03-19
"53","Amsterdam",2017-03-18
"54","Amsterdam",2017-03-16
"55","Amsterdam",2017-03-06
"56","Amsterdam",2017-02-20
"57","Amsterdam",2017-02-17
"59","Amsterdam",2017-02-14
"60","Amsterdam",2017-02-09
"61","Amsterdam",2017-02-06
"62","Amsterdam",2017-01-29
"63","Amsterdam",2017-01-27
"64","Amsterdam",2017-01-25
"65","Amsterdam",2017-01-19
"66","Amsterdam",2017-01-08
"67","Amsterdam",2016-12-29
"68","Amsterdam",2016-12-28
"69","Amsterdam",2016-12-21
"70","Amsterdam",2016-12-20
"71","Amsterdam",2016-12-19
"73","Amsterdam",2016-12-15
"74","Amsterdam",2016-12-14
"76","Amsterdam",2016-12-13
"77","Amsterdam",2016-12-12
"78","Amsterdam",2016-12-11
"79","Amsterdam",2016-12-10
"80","Amsterdam",2016-12-07
"81","Amsterdam",2016-11-15
"82","Amsterdam",2016-11-07
"83","Amsterdam",2016-11-06
"84","Amsterdam",2016-11-02
"85","Amsterdam",2016-10-31
"86","Amsterdam",2016-10-30
"87","Amsterdam",2016-10-26
"88","Amsterdam",2016-10-25
"91","Amsterdam",2016-10-24
"92","Amsterdam",2016-10-13
"93","Amsterdam",2016-10-12
"94","Amsterdam",2016-10-11
"95","Amsterdam",2016-10-06
"96","Amsterdam",2016-10-04
"97","Amsterdam",2016-09-27
"99","Amsterdam",2016-09-19
"101","Amsterdam",2016-09-18
"102","Amsterdam",2016-09-12
"103","Amsterdam",2016-09-09
"104","Amsterdam",2016-08-31
"105","Amsterdam",2016-08-13
"106","Amsterdam",2016-07-30
"107","Amsterdam",2016-07-27
"108","Amsterdam",2016-07-26
"109","Amsterdam",2016-07-20
"110","Amsterdam",2016-07-17
"111","Amsterdam",2016-07-14
"112","Amsterdam",2016-07-09
"113","Amsterdam",2016-07-05
"114","Amsterdam",2016-07-02
"116","Amsterdam",2016-06-29
"117","Amsterdam",2016-06-27
"118","Amsterdam",2016-06-17
"120","Amsterdam",2016-06-16
"121","Amsterdam",2016-06-05
"122","Amsterdam",2016-06-01
"124","Amsterdam",2016-05-28
"125","Amsterdam",2016-05-22
"127","Amsterdam",2016-05-17
"129","Amsterdam",2016-05-07
"131","Amsterdam",2016-05-03
"134","Amsterdam",2016-05-01
"136","Amsterdam",2016-04-26
"137","Amsterdam",2016-04-24
"140","Amsterdam",2016-04-23
"141","Amsterdam",2016-04-22
"142","Amsterdam",2016-04-19
"145","Amsterdam",2016-04-17
"146","Amsterdam",2016-04-12
"148","Amsterdam",2016-04-07
"149","Amsterdam",2016-04-05
"151","Amsterdam",2016-03-29
"153","Amsterdam",2016-03-23
"154","Amsterdam",2016-03-20
"155","Amsterdam",2016-03-17
"156","Amsterdam",2016-03-16
"157","Amsterdam",2016-03-15
"158","Amsterdam",2016-03-12
"159","Amsterdam",2016-03-02
"160","Amsterdam",2016-03-01
"161","Amsterdam",2016-02-29
"164","Amsterdam",2016-02-20
"165","Amsterdam",2016-02-16
"166","Amsterdam",2016-02-15
"167","Amsterdam",2016-02-10
"168","Amsterdam",2016-02-09
"169","Amsterdam",2016-02-08
"170","Amsterdam",2016-02-07
"171","Amsterdam",2016-02-04
"172","Amsterdam",2016-02-03
"173","Amsterdam",2016-02-02
"176","Amsterdam",2016-02-01
"177","Amsterdam",2016-01-26
"179","Amsterdam",2016-01-23
"180","Amsterdam",2016-01-19
"181","Amsterdam",2016-01-15
"182","Amsterdam",2016-01-12
"183","Amsterdam",2016-01-05
"185","Amsterdam",2016-01-03
"186","Amsterdam",2016-01-02
"187","Amsterdam",2015-12-31
"189","Amsterdam",2015-12-26
"190","Amsterdam",2015-12-22
"191","Amsterdam",2015-12-15
"192","Amsterdam",2015-12-13
"193","Amsterdam",2015-12-08
"194","Amsterdam",2015-12-03
"196","Amsterdam",2015-11-29
"197","Amsterdam",2015-11-24
"198","Amsterdam",2015-11-17
"199","Amsterdam",2015-11-15
"200","Amsterdam",2015-11-14
"201","Amsterdam",2015-11-11
"202","Amsterdam",2015-11-10
"203","Amsterdam",2015-11-06
"204","Amsterdam",2015-11-03
"205","Amsterdam",2015-11-01
"206","Amsterdam",2015-10-30
"208","Amsterdam",2015-10-29
"209","Amsterdam",2015-10-26
"210","Amsterdam",2015-10-25
"211","Amsterdam",2015-10-23
"212","Amsterdam",2015-10-22
"213","Amsterdam",2015-10-21
"214","Amsterdam",2015-10-19
"215","Amsterdam",2015-10-18
"216","Amsterdam",2015-10-17
"217","Amsterdam",2015-10-14
"218","Amsterdam",2015-10-04
"219","Amsterdam",2015-09-30
"220","Amsterdam",2015-09-29
"222","Amsterdam",2015-09-28
"223","Amsterdam",2015-09-26
"224","Amsterdam",2015-09-25
"225","Amsterdam",2015-09-20
"226","Amsterdam",2015-09-18
"227","Amsterdam",2015-09-12
"229","Amsterdam",2015-09-11
"230","Amsterdam",2015-09-07
"231","Amsterdam",2015-09-05
"232","Amsterdam",2015-09-03
"233","Amsterdam",2015-09-01
"234","Amsterdam",2015-08-30
"235","Amsterdam",2015-08-27
"236","Amsterdam",2015-08-26
"238","Amsterdam",2015-08-25
"239","Amsterdam",2015-08-20
"240","Amsterdam",2015-08-18
"242","Amsterdam",2015-08-14
"243","Amsterdam",2015-08-11
"244","Amsterdam",2015-08-06
"245","Amsterdam",2015-08-04
"248","Amsterdam",2017-07-22
"249","Amsterdam",2017-07-19
"250","Amsterdam",2017-07-12
"251","Amsterdam",2017-07-10
"256","Amsterdam",2017-06-25
"257","Amsterdam",2017-06-24
"259","Amsterdam",2017-06-17
"260","Amsterdam",2017-06-13
"261","Amsterdam",2017-06-05
"263","Amsterdam",2017-05-15
"265","Amsterdam",2017-05-04
"266","Amsterdam",2017-05-03
"267","Amsterdam",2017-05-01
"268","Amsterdam",2017-04-28
"270","Amsterdam",2017-04-24
"272","Amsterdam",2017-04-11
"273","Amsterdam",2017-04-04
"275","Amsterdam",2017-03-13
"276","Amsterdam",2017-03-10
"277","Amsterdam",2017-03-07
"278","Amsterdam",2017-03-04
"279","Amsterdam",2017-02-15
"280","Amsterdam",2017-02-13
"281","Amsterdam",2017-02-08
"283","Amsterdam",2017-02-05
"284","Amsterdam",2017-02-03
"285","Amsterdam",2017-02-02
"286","Amsterdam",2017-01-30
"287","Amsterdam",2017-01-24
"288","Amsterdam",2017-01-22
"289","Amsterdam",2017-01-21
"290","Amsterdam",2017-01-04
"291","Amsterdam",2017-01-03
"292","Amsterdam",2016-12-27
"294","Amsterdam",2016-12-06
"295","Amsterdam",2016-11-28
"296","Amsterdam",2016-11-27
"299","Amsterdam",2016-10-19
"300","Amsterdam",2016-10-18
"302","Amsterdam",2016-10-03
"303","Amsterdam",2016-08-28
"304","Amsterdam",2016-08-27
"305","Amsterdam",2016-08-26
"306","Amsterdam",2016-08-14
"307","Amsterdam",2016-08-09
"308","Amsterdam",2016-08-08
"309","Amsterdam",2016-08-07
"310","Amsterdam",2016-08-02
"311","Amsterdam",2016-07-29
"314","Amsterdam",2016-07-23
"315","Amsterdam",2016-07-19
"316","Amsterdam",2016-07-07
"317","Amsterdam",2016-06-26
"318","Amsterdam",2016-06-04
"319","Amsterdam",2016-06-03
"320","Amsterdam",2016-05-30
"321","Amsterdam",2016-05-29
"322","Amsterdam",2016-05-21
"323","Amsterdam",2016-05-19
"325","Amsterdam",2016-05-13
"327","Amsterdam",2016-04-30
"328","Amsterdam",2016-04-25
"331","Amsterdam",2016-04-14
"332","Amsterdam",2016-04-10
"333","Amsterdam",2016-03-31
"334","Amsterdam",2016-03-27
"335","Amsterdam",2016-03-26
"336","Amsterdam",2016-03-13
"337","Amsterdam",2016-03-08
"338","Amsterdam",2016-03-03
"341","Amsterdam",2016-02-27
"342","Amsterdam",2016-02-25
"343","Amsterdam",2016-02-22
"349","Amsterdam",2016-01-22
"352","Amsterdam",2016-01-16
"356","Amsterdam",2016-01-11
"357","Amsterdam",2016-01-08
"362","Amsterdam",2015-12-30
"364","Amsterdam",2015-12-14
"365","Amsterdam",2015-12-10
"369","Amsterdam",2015-11-26
"370","Amsterdam",2015-11-21
"371","Amsterdam",2015-11-19
"374","Amsterdam",2015-11-12
"377","Amsterdam",2015-10-28
"378","Amsterdam",2015-10-27
"379","Amsterdam",2015-10-20
"380","Amsterdam",2015-10-13
"382","Amsterdam",2015-10-05
"383","Amsterdam",2015-10-02
"384","Amsterdam",2015-10-01
"386","Amsterdam",2015-09-19
"387","Amsterdam",2015-09-16
"388","Amsterdam",2015-09-15
"391","Amsterdam",2015-09-09
"392","Amsterdam",2015-09-06
"394","Amsterdam",2015-09-04
"399","Amsterdam",2015-08-23
"400","Amsterdam",2015-08-22
"401","Amsterdam",2015-08-17
"402","Amsterdam",2015-08-16
"403","Amsterdam",2015-08-09
"406","London",2017-08-03
"407","London",2017-08-02
"408","London",2017-07-20
"409","London",2017-07-19
"410","London",2017-07-18
"411","London",2017-07-10
"412","London",2017-07-06
"413","London",2017-06-30
"414","London",2017-06-27
"416","London",2017-06-25
"418","London",2017-06-24
"419","London",2017-06-23
"420","London",2017-06-11
"421","London",2017-06-07
"422","London",2017-06-05
"423","London",2017-05-31
"424","London",2017-05-26
"425","London",2017-05-13
