,key_update,key_update,key_update,key_update,key_update,key_update,key_update,key_update
key_type,access_type,accessibility,free,other_room_types,room_type,time_of_stay,trip_type,view_type
hotel_id,,,,,,,,
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,none,none,none,suite,double_room,stayed_less_than_a_week,group_trip,none
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,none,none,none,none,twin_room,stayed_less_than_a_week,family_trip,none
1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,lounge_access,none,none,none,king_room,stayed_more_than_a_week,family_trip,none
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
1 3 Rue d Argentine 16th arr 75116 Paris France,none,none,none,none,balcony_room,stayed_more_than_a_week,business_trip,none
1 5 Passage Ruelle 18th arr 75018 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
1 8 Russell Square Camden London WC1B 5BE United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
1 Addington Street Lambeth London SE1 7RY United Kingdom,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,city_view
1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
1 Avenue Carnot 17th arr 75017 Paris France,none,none,none,none,economy,stayed_less_than_a_week,family_trip,room_with_view
1 Bis Rue De Vaugirard 6th arr 75006 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,group_trip,none
1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
1 Impasse Marteau 18th arr 75018 Paris France,none,none,none,suite,none,stayed_less_than_a_week,family_trip,none
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,none,none,none,none,double_room,stayed_more_than_a_week,family_trip,none
1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,none,none,none,suite,king_room,stayed_less_than_a_week,family_trip,none
1 Kings Cross Road Islington London WC1X 9HX United Kingdom,none,accessibility,none,none,king_room,stayed_less_than_a_week,group_trip,none
1 Place De La Sorbonne 5th arr 75005 Paris France,none,none,none,none,double_room,stayed_less_than_a_week,family_trip,park_view
1 Place Vend me 1st arr 75001 Paris France,none,none,none,suite,double_room,stayed_more_than_a_week,family_trip,none
1 Rue De Libourne 12th arr 75012 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,none,none,none,suite,double_room,stayed_less_than_a_week,family_trip,none
1 Rue Sainte Opportune 1st arr 75001 Paris France,none,none,none,suite,single_room,stayed_less_than_a_week,solo,none
1 Rue Scribe 9th arr 75009 Paris France,spa_access,none,none,none,more_than_one_room,stayed_less_than_a_week,family_trip,none
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,none,none,none,suite,superior_room,stayed_less_than_a_week,group_trip,none
1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,none,none,none,suite,deluxe_room,stayed_less_than_a_week,family_trip,none
