key,key_update,key_type
leisure_trip,leisure_trip,trip_type
couple,couple,trip_type
duplex_double_room,double_room,room_type
stayed_2_nights,stayed_less_than_a_week,time_of_stay
submitted_from_a_mobile_device,other,other
group,group_trip,trip_type
business_trip,business_trip,trip_type
solo_traveler,solo,trip_type
stayed_1_night,stayed_less_than_a_week,time_of_stay
stayed_4_nights,stayed_less_than_a_week,time_of_stay
stayed_3_nights,stayed_less_than_a_week,time_of_stay
2_rooms,more_than_one_room,room_type
duplex_twin_room,twin_room,room_type
large_king_room,king_room,room_type
suite,suite,other_room_types
stayed_5_nights,stayed_less_than_a_week,time_of_stay
family_with_young_children,family_trip,trip_type
stayed_6_nights,stayed_less_than_a_week,time_of_stay
family_with_older_children,family_trip,trip_type
classic_twin_room,twin_room,room_type
executive_king_room,king_room,room_type
classic_double_room,double_room,room_type
classic_triple_room,triple_room,room_type
classic_single_room,single_room,room_type
travelers_with_friends,group_trip,trip_type
stayed_11_nights,stayed_more_than_a_week,time_of_stay
stayed_7_nights,stayed_less_than_a_week,time_of_stay
stayed_10_nights,stayed_more_than_a_week,time_of_stay
stayed_9_nights,stayed_more_than_a_week,time_of_stay
with_a_pet,other,other
stayed_8_nights,stayed_more_than_a_week,time_of_stay
deluxe_king_room_with_club_lounge_access_and_balcony,balcony_room,room_type
city_king_room,king_room,room_type
superior_king_room,king_room,room_type
city_twin_room,twin_room,room_type
deluxe_king_room_with_club_lounge_access,lounge_access,access_type
superior_king_room_with_balcony,balcony_room,room_type
master_suite_with_club_lounge_access,lounge_access,access_type
junior_suite_with_club_lounge_access,lounge_access,access_type
stayed_14_nights,stayed_more_than_a_week,time_of_stay
triple_room,triple_room,room_type
deluxe_twin_room,deluxe_room,room_type
deluxe_double_room,double_room,room_type
club_double_room,double_room,room_type
compact_double_room,double_room,room_type
junior_suite,suite,other_room_types
stayed_15_nights,stayed_more_than_a_week,time_of_stay
stayed_13_nights,stayed_more_than_a_week,time_of_stay
stayed_18_nights,stayed_more_than_a_week,time_of_stay
quadruple_room,bigger_room,room_type
3_rooms,more_than_one_room,room_type
comfort_double_room,double_room,room_type
superior_double_room,double_room,room_type
deluxe_double_room_with_balcony,balcony_room,room_type
premium_double_room,double_room,room_type
kube_double_or_twin_room,double_room,room_type
double_room,double_room,room_type
champagne_shopping_package_double_room,double_room,room_type
single_room,single_room,room_type
twin_room,twin_room,room_type
superior_double_room_with_two_double_beds,double_room,room_type
treat_your_partner_package_double_room,double_room,room_type
4_rooms,more_than_one_room,room_type
superior_twin_room,twin_room,room_type
stayed_20_nights,stayed_more_than_a_week,time_of_stay
champagne_shopping_package_twin_room,twin_room,room_type
studio_double_family,family_trip,trip_type
stayed_12_nights,stayed_more_than_a_week,time_of_stay
executive_studio_with_london_eye_view,london_eye_view,view_type
junior_suite_3_adults,suite,other_room_types
executive_studio_city_view,room_with_view,view_type
studio_double_room,double_room,room_type
executive_studio_city_view_family,city_view,view_type
penthouse_suite_family,penthouse_suite,other_room_types
penthouse_suite,penthouse_suite,other_room_types
junior_suite_2_adults,suite,other_room_types
superior_double_room_with_london_eye_view,london_eye_view,view_type
executive_double_room,double_room,room_type
aldwych_double_twin_room,double_room,room_type
stayed_17_nights,stayed_more_than_a_week,time_of_stay
executive_suite,suite,other_room_types
studio_suite,suite,other_room_types
superior_double_room_with_balcony,balcony_room,room_type
privilege_room_with_view,room_with_view,view_type
suite_with_view,room_with_view,view_type
classic_room,economy,room_type
superior_room,superior_room,room_type
double_room_with_courtyard_view,courtyard_view,view_type
two_adjacent_classic_rooms,more_than_one_room,room_type
two_connecting_rooms,more_than_one_room,room_type
superior_double_or_twin_room,double_room,room_type
classic_double_or_twin_room,double_room,room_type
deluxe_king_room,king_room,room_type
king_room,king_room,room_type
deluxe_double_or_twin_room,double_room,room_type
superior_suite_3_adults_1_child,family_trip,trip_type
superior_suite_2_adults_2_children,family_trip,trip_type
superior_suite_with_1_double_bed_and_1_single_bed,suite,other_room_types
deluxe_single_room,deluxe_room,room_type
deluxe_triple_room,deluxe_room,room_type
club_twin_room,twin_room,room_type
superior_queen_room,queen_room,room_type
master_suite,suite,other_room_types
deluxe_studio,deluxe_room,room_type
standard_room,economy,room_type
double_room_with_sofa_bed_non_smoking,king_room,room_type
double_room_non_smoking,king_room,room_type
double_room_with_two_double_beds,double_room,room_type
executive_twin_room,twin_room,room_type
double_room_disability_access,accessibility,accessibility
executive_room_non_smoking,king_room,room_type
small_double_room,double_room,room_type
deluxe_double_with_winter_garden_view,park_view,view_type
single_room_with_double_bed,double_room,room_type
executive_double_room_top_floor,double_room,room_type
deluxe_suite,suite,other_room_types
classique_double_room,double_room,room_type
superior_triple_room_with_1_double_bed_1_single_bed,double_room,room_type
family_room_two_connecting_rooms,family_trip,trip_type
superior_triple_room_with_3_single_beds,superior_room,room_type
duplex_king_suite_2_adults_2_children,family_trip,trip_type
standard_family_suite_with_two_connecting_rooms,family_trip,trip_type
superior_room_with_1_double_bed_and_1_single_bed,double_room,room_type
family_room_two_connecting_rooms_3_adults,family_trip,trip_type
junior_suite_3_adults_or_2_adults_1_child,family_trip,trip_type
interconnecting_rooms,more_than_one_room,room_type
standard_double_room,double_room,room_type
standard_single_room,single_room,room_type
luxury_room_with_spa_access,spa_access,access_type
classic_single_room_with_spa_access,spa_access,access_type
superior_double_room_with_spa_access,spa_access,access_type
junior_suite_with_spa_access,spa_access,access_type
luxury_room_club_sofitel_with_spa_access,spa_access,access_type
junior_suite_premium_with_spa_access,spa_access,access_type
executive_room,executive_room,room_type
superior_room_with_2_single_beds,superior_room,room_type
executive_premium_room_with_a_queen_bed,queen_room,room_type
luxury_junior_suite,suite,other_room_types
luxury_room,luxury_room,room_type
deluxe_room,deluxe_room,room_type
deluxe_junior_suite,suite,other_room_types
one_bedroom_suite,suite,other_room_types
family_room,family_trip,trip_type
deluxe_king_room_with_river_view,river_view,view_type
deluxe_king_room_with_canary_wharf_view,room_with_view,view_type
club_king_room_with_lounge_access,lounge_access,access_type
deluxe_king_suite,king_room,room_type
superior_king_room_with_river_view,river_view,view_type
double_or_twin_room,double_room,room_type
deluxe_suite_with_river_view,river_view,view_type
king_room_with_eiffel_tower_view,paris_view,view_type
premier_double_or_twin_room,double_room,room_type
eiffel_suite_with_partial_view,paris_view,view_type
privilege_room_with_1_double_bed,double_room,room_type
stayed_23_nights,stayed_more_than_a_week,time_of_stay
knightsbridge_suite,suite,other_room_types
loft,apartment,other_room_types
loft_suite,suite,other_room_types
double_room_with_four_poster_bed,double_room,room_type
prestige_double_or_twin_room,double_room,room_type
nadler_deluxe_double_room,double_room,room_type
superior_king_or_twin_room,king_room,room_type
stayed_16_nights,stayed_more_than_a_week,time_of_stay
king_double_or_twin_room,king_room,room_type
comfort_triple_room,triple_room,room_type
luxury_double_room,double_room,room_type
luxury_suite,suite,other_room_types
queen_room,queen_room,room_type
junior_suite_attic,suite,other_room_types
suite_with_terrace,balcony_room,room_type
stayed_21_nights,stayed_more_than_a_week,time_of_stay
standard_room_with_queen_bed_and_sofa,queen_room,room_type
superior_room_with_queen_bed_sofa,queen_room,room_type
superior_room_with_queen_bed_and_sofa,queen_room,room_type
superior_room_with_queen_bed,queen_room,room_type
superior_premium_room_with_queen_bed_sofa,queen_room,room_type
executive_queen_room,queen_room,room_type
executive_room_with_queen_bed,queen_room,room_type
superior_room_with_2_double_beds,double_room,room_type
deluxe_room_with_club_lounge_access,lounge_access,access_type
deluxe_double_room_with_club_lounge_access,lounge_access,access_type
double_room_with_club_lounge_access,lounge_access,access_type
deluxe_room_with_pool_access,pool_access,access_type
classic_double_or_twin_room_with_pool_access,pool_access,access_type
suite_with_eiffel_tower_view_vip_welcome,paris_view,view_type
two_connecting_double_rooms_with_pool_access,pool_access,access_type
junior_suite_with_pool_access,pool_access,access_type
comfort_room,other_room,room_type
classic_double_room_with_shower,double_room,room_type
standard_double_room_with_bath,double_room,room_type
suite_2_adults,suite,other_room_types
premium_double_or_twin_room,double_room,room_type
club_double_or_twin_room,double_room,room_type
2_adjacent_rooms,more_than_one_room,room_type
wonderful_room,other_room,room_type
spectacular_room,other_room,room_type
fabulous_room,other_room,room_type
cool_corner_room,other_room,room_type
marvellous_suite,suite,other_room_types
single_room_with_arc_de_triomphe_view,paris_view,view_type
standard_twin_room_with_arc_de_triomphe_view,paris_view,view_type
prestige_double_room_with_view,room_with_view,view_type
superior_triple_room,superior_room,room_type
standard_double_or_twin_room,double_room,room_type
cosy_room,other_room,room_type
junior_room,other_room,room_type
privilege_double_room,double_room,room_type
deluxe_double_room_with_private_access_to_pool_and_spa,private_access,access_type
junior_suite_with_private_access_to_pool_and_spa,private_access,access_type
two_bedroom_suite_with_private_access_to_pool_and_spa,private_access,access_type
family_room_2_adults_1_child,family_trip,trip_type
classic_king_room,king_room,room_type
superior_king_room_with_sofa_bed,king_room,room_type
deluxe_double_room_with_two_double_beds,double_room,room_type
club_king_room,king_room,room_type
suite_with_sofa_bed,suite,other_room_types
executive_room_selected_at_check_in,executive_room,room_type
superior_suite,suite,other_room_types
queen_guest_room,queen_room,room_type
twin_guest_room,twin_room,room_type
twin_superior_room,twin_room,room_type
queen_superior_room,queen_room,room_type
queen_deluxe_room,queen_room,room_type
double_guest_room,double_room,room_type
duplex_suite,suite,other_room_types
queensgate_double_room,queen_room,room_type
club_deluxe_room,deluxe_room,room_type
queensgate_twin_room,queen_room,room_type
king_one_bedroom_suite,king_room,room_type
king_guest_room,king_room,room_type
queen_one_bedroom_suite,queen_room,room_type
king_duplex_suite,king_room,room_type
queensgate_triple_room,queen_room,room_type
superior_deluxe_double_room,double_room,room_type
standard_suite,suite,other_room_types
deluxe_king_studio_suite,king_room,room_type
accessible_studio_suite,accessibility,accessibility
standard_twin_room,twin_room,room_type
panoramic_room,other_room,room_type
premium_double_room_with_garden_view,park_view,view_type
executive_triple_room,triple_room,room_type
executive_triple_room_with_garden_view,park_view,view_type
double_room_with_eiffel_tower_view,paris_view,view_type
junior_suite_with_eiffel_tower_view,paris_view,view_type
privilege_double_room_with_eiffel_tower_view,paris_view,view_type
double_room_1_adult_with_eiffel_tower_view,paris_view,view_type
double_room_1_adult,double_room,room_type
deluxe_double_room_with_view,room_with_view,view_type
studio_room,studio,other_room_types
stayed_25_nights,stayed_more_than_a_week,time_of_stay
executive_room_free_executive_lounge_access,lounge_access,access_type
deluxe_twin_room_2_adults,deluxe_room,room_type
deluxe_king_room_2_adults,king_room,room_type
executive_suite_free_executive_lounge_access,lounge_access,access_type
queen_room_non_smoking,king_room,room_type
twin_room_non_smoking,king_room,room_type
executive_king_room_with_sofa_bed_non_smoking,king_room,room_type
executive_king_room_non_smoking,king_room,room_type
queen_room_disability_access_non_smoking,accessibility,accessibility
deluxe_studio_suite,suite,other_room_types
one_bedroom_studio_suite,suite,other_room_types
studio_disability_access,accessibility,accessibility
two_bedroom_suite,suite,other_room_types
quadruple_room_with_shower,bigger_room,room_type
comfort_single_room_with_window_and_double_bed,double_room,room_type
economy_single_room_basement_no_window,single_room,room_type
triple_room_disability_access,accessibility,accessibility
economy_double_room_basement_no_window,double_room,room_type
king_room_non_smoking,king_room,room_type
king_suite_with_sofa_bed_non_smoking,king_room,room_type
club_queen_room,queen_room,room_type
two_adjacent_classic_double_rooms,more_than_one_room,room_type
king_suite,king_room,room_type
presidential_suite,suite,other_room_types
junior_suite_with_park_view,park_view,view_type
one_bedroom_suite_with_park_view,park_view,view_type
single_room_with_shower,single_room,room_type
single_room_with_bath,single_room,room_type
junior_king_suite,king_room,room_type
classic_double_room_with_free_access_to_hamman,free_access,access_type
deluxe_double_room_with_free_access_to_hamman,free_access,access_type
superior_double_room_with_free_access_to_hamman,free_access,access_type
two_connecting_rooms_with_free_access_to_hamman,more_than_one_room,room_type
standard_queen_room,queen_room,room_type
two_adjacent_rooms_5_adults,more_than_one_room,room_type
queen_double_room,queen_room,room_type
king_double_room,king_room,room_type
deluxe_queen_room,queen_room,room_type
superior_queen_room_with_double_sofa,queen_room,room_type
superior_queen_room_with_sofa,queen_room,room_type
premium_superior_queen_room,queen_room,room_type
superior_premium_queen_room,queen_room,room_type
executive_queen_room_with_sofa_bed_3_adults,queen_room,room_type
executive_queen_room_with_sofa,queen_room,room_type
room_with_park_view,park_view,view_type
one_bedroom_apartment,apartment,other_room_types
green_park_suite,suite,other_room_types
standard_king_room,king_room,room_type
suite_with_city_view,city_view,view_type
classic_queen_room,queen_room,room_type
suite_with_glass_of_champagne,suite,other_room_types
suite_vip_welcome,suite,other_room_types
business_class_room,luxury_room,room_type
executive_double_or_twin_room,double_room,room_type
comfort_double_or_twin_room,double_room,room_type
suite_4_adults,suite,other_room_types
executive_double_room_eiffel_studio_d_artiste_with_view_of_paris,paris_view,view_type
classic_double_room_loge_classique,double_room,room_type
superior_double_room_loge_sup_rieure,double_room,room_type
executive_double_room_studio_d_artiste,double_room,room_type
exclusive_suite,suite,other_room_types
exclusive_suite_eiffel,suite,other_room_types
comfort_single_room_with_shower,single_room,room_type
deluxe_double_with_terrace,balcony_room,room_type
economy_double_room,double_room,room_type
executive_suite_2_adults_2_children,family_trip,trip_type
club_single_room,single_room,room_type
executive_family_room,family_trip,trip_type
family_room_sleeps_four,family_trip,trip_type
terrace_junior_suite,balcony_room,room_type
prestige_double_room,double_room,room_type
ambassadors_room,luxury_room,room_type
privilege_double_or_twin_room,double_room,room_type
cosy_double_room,double_room,room_type
prestige_double_room_with_eiffel_tower_view,paris_view,view_type
two_connecting_double_rooms,more_than_one_room,room_type
premier_double_room,double_room,room_type
suite_family_and_friends,family_trip,trip_type
deluxe_double_room_with_eiffel_tower_view,paris_view,view_type
suite_terasse_eiffel,suite,other_room_types
suite_champs_lys_es,suite,other_room_types
classic_double_room_with_free_pool_and_hammam_access,pool_access,access_type
privilege_top_floor_with_terrace,balcony_room,room_type
privilege_double_room_with_free_pool_and_hammam_access,pool_access,access_type
superior_double_room_with_free_pool_and_hammam_access,pool_access,access_type
suite_with_free_pool_and_hammam_access,pool_access,access_type
two_adjacent_double_rooms_with_free_pool_and_hammam_access,more_than_one_room,room_type
deluxe_with_two_double_beds,double_room,room_type
deluxe_king_with_balcony,balcony_room,room_type
superior_room_with_two_double_beds_and_balcony,balcony_room,room_type
superior_king_with_balcony,balcony_room,room_type
executive_king,king_room,room_type
king_room_with_sofa_bed_and_balcony,balcony_room,room_type
triple_executive_room,triple_room,room_type
duplex_family_suite_with_spa_bath,spa_access,access_type
double_hilton_guestroom,double_room,room_type
deluxe_queen_guestroom,queen_room,room_type
deluxe_king_guestroom_with_view,room_with_view,view_type
deluxe_king_guestroom,king_room,room_type
grand_superior_room,superior_room,room_type
queen_guestroom,queen_room,room_type
standard_guestroom,economy,room_type
principle_double,double_room,room_type
superior_m_double_room,double_room,room_type
deluxe_l_double_room,double_room,room_type
junior_suite_xl,suite,other_room_types
saint_honor_double_suite,suite,other_room_types
junior_double_suite,suite,other_room_types
signature_double_room,double_room,room_type
executive_vend_me_triple_room,triple_room,room_type
super_deluxe_double_room,double_room,room_type
superior_single_room,superior_room,room_type
business_king_room,king_room,room_type
executive_double_room_with_two_double_beds_with_lounge_access,lounge_access,access_type
superior_king_room_with_lounge_access,lounge_access,access_type
executive_king_room_with_lounge_access,lounge_access,access_type
superior_double_room_with_city_view,city_view,view_type
junior_suite_with_city_view,city_view,view_type
premium_junior_suite_with_king_size_bed,king_room,room_type
family_suite,family_trip,trip_type
family_suite_with_balcony,balcony_room,room_type
luxury_family_room,family_trip,trip_type
deluxe_king_or_twin_room,king_room,room_type
executive_king_or_twin_room_with_lounge_access_and_park_view,park_view,view_type
junior_suite_with_lounge_access_and_city_view,city_view,view_type
classic_room_breakfast_included,breakfast_included,free
two_adjacent_deluxe_rooms,more_than_one_room,room_type
king_room_disability_access_non_smoking,accessibility,accessibility
executive_deluxe_double_room,double_room,room_type
privilege_double_or_twin_room_courtyard_side,double_room,room_type
superior_double_room_with_saint_germain_des_pr_s_church_view,room_with_view,view_type
privilege_double_room_with_saint_germain_des_pr_s_church_view,room_with_view,view_type
double_executive_room_with_lounge_access,lounge_access,access_type
family_superior_room,family_trip,trip_type
double_room_gwr_tower,double_room,room_type
terrace_suite_with_lounge_access,lounge_access,access_type
queen_suite_with_lounge_access,lounge_access,access_type
deluxe_twin_or_single_room,deluxe_room,room_type
king_executive_room_with_lounge_access,lounge_access,access_type
delightful_queen_room,queen_room,room_type
delightful_king_twin_room,king_room,room_type
deluxe_king_room_with_garden_view,park_view,view_type
superior_junior_suite,suite,other_room_types
superior_room_queen_size_bed_and_double_sofa_bed,queen_room,room_type
superior_room_with_queensize_bed_and_single_sofa_bed,queen_room,room_type
executive_room_with_views_of_paris_queen_size_bed_and_double_sofa_bed_2_adults_2_children,family_trip,trip_type
luxury_room_1_queensize_bed_twin_bedded_room_on_request,queen_room,room_type
premium_room_2_adults,luxury_room,room_type
premium_room_3_adults,luxury_room,room_type
collection_suite,suite,other_room_types
two_interconnecting_rooms,more_than_one_room,room_type
superior_double_room_with_extra_bed,double_room,room_type
grand_suite,suite,other_room_types
superior_double_room_breakfast_included,breakfast_included,free
queen_room_with_mobility_access,queen_room,room_type
deluxe_king_room_with_balcony,balcony_room,room_type
deluxe_double,double_room,room_type
montcalm_club_twin_room,twin_room,room_type
montcalm_club_double_room,double_room,room_type
double_room_with_patio_view,room_with_view,view_type
double_or_twin_room_with_bath,double_room,room_type
modern_double_room_echo,double_room,room_type
modern_double_room_narcisse,double_room,room_type
deluxe_double_and_single_room,double_room,room_type
junior_deluxe_double_room,double_room,room_type
junior_deluxe_twin_room,deluxe_room,room_type
superior_twin_room_with_extra_bed,twin_room,room_type
superior_family_room,family_trip,trip_type
standard_compact_double_room,double_room,room_type
twin_room_disability_access,accessibility,accessibility
two_adjacent_double_rooms,more_than_one_room,room_type
executive_double_room_with_terrace,balcony_room,room_type
executive_double_or_twin_room_with_executive_lounge_access,lounge_access,access_type
junior_suite_blue_sunshine,suite,other_room_types
deluxe_double_or_twin_room_light_my_fire,double_room,room_type
double_room_lady_soul,double_room,room_type
junior_suite_give_me_the_night,suite,other_room_types
single_room_joy,single_room,room_type
superior_double_or_twin_room_moon_blue,double_room,room_type
junior_suite_my_ch_rie_amour,suite,other_room_types
junior_suite_jungle_fever_with_hot_tub,suite,other_room_types
twin_or_double_room_with_terrace,balcony_room,room_type
comfort_double_room_courtyard_side,double_room,room_type
standard_double_room_without_window,double_room,room_type
single_guest_room,single_room,room_type
twin_guest_room_plus,twin_room,room_type
double_hilton_guest_room_plus,double_room,room_type
executive_single_room,single_room,room_type
king_size_double_room,king_room,room_type
family_room_with_bathroom,family_trip,trip_type
family_executive_room_2_adults_2_children,family_trip,trip_type
two_adjacent_rooms_6_persons,more_than_one_room,room_type
family_room_2_adults_2_children,family_trip,trip_type
executive_room_queen_size_bed,queen_room,room_type
family_room_3_adults,family_trip,trip_type
double_room_city,double_room,room_type
premium_double_twin_room,double_room,room_type
single_room_city,single_room,room_type
twin_room_with_extra_bed,twin_room,room_type
apartments_4_adults,apartment,other_room_types
room_with_view,room_with_view,view_type
double_room_with_extra_bed,double_room,room_type
four_connecting_rooms,more_than_one_room,room_type
2_connecting_rooms_5_people,more_than_one_room,room_type
2_connecting_rooms_4_people,more_than_one_room,room_type
3_connecting_rooms,more_than_one_room,room_type
apartment_3_adults,apartment,other_room_types
executive_room_with_two_queen_beds,queen_room,room_type
standard_double_room_with_tea_time_included,double_room,room_type
deluxe_triple_room_with_tea_time_included,deluxe_room,room_type
standard_twin_room_with_tea_time_included,twin_room,room_type
superior_double_room_with_tea_time_included,double_room,room_type
superior_twin_room_with_tea_time_included,twin_room,room_type
executive_double_room_river_view,river_view,view_type
deluxe_twin_room_balcony_with_eiffel_tower_view,paris_view,view_type
classic_twin_room_with_garden_view,park_view,view_type
superior_king_room_eiffel_tower_view,paris_view,view_type
deluxe_king_room_balcony_with_eiffel_tower_view,paris_view,view_type
classic_double_room_with_garden_view,park_view,view_type
superior_twin_room_with_eiffel_tower_view,paris_view,view_type
suite_trocadero_balcony_with_eiffel_tower_view,paris_view,view_type
stayed_26_nights,stayed_more_than_a_week,time_of_stay
two_connecting_double_and_twin_rooms,more_than_one_room,room_type
suite_elys_e,suite,other_room_types
junior_suite_saint_honor,suite,other_room_types
junior_suite_parisienne,suite,other_room_types
suite_parisienne,suite,other_room_types
signature_suite,suite,other_room_types
mezzanine_suite,suite,other_room_types
garden_room,other_room,room_type
standard_double_twin_room,double_room,room_type
business_double_room,double_room,room_type
suite_aurore,suite,other_room_types
junior_suite_with_living_room,suite,other_room_types
king_studio,king_room,room_type
double_room_relax,double_room,room_type
triple_room_relax,triple_room,room_type
4_person_suite,suite,other_room_types
2_connecting_rooms_4_adults,more_than_one_room,room_type
superior_double_twin_room,double_room,room_type
2_connecting_rooms_5_adults,more_than_one_room,room_type
classic_double_single_use,double_room,room_type
deluxe_king_room_with_paris_view,paris_view,view_type
superior_twin_room_with_paris_view,paris_view,view_type
classic_room_with_2_double_beds_2_adults,double_room,room_type
deluxe_family_room_with_two_double_beds_with_paris_view,paris_view,view_type
classic_room_with_2_double_beds_4_adults,double_room,room_type
deluxe_triple_room_with_paris_view,paris_view,view_type
classic_room_with_2_double_beds,double_room,room_type
superior_queen_room_with_paris_view,paris_view,view_type
deluxe_quadruple_room_with_paris_view,paris_view,view_type
junior_suite_3_adults_with_paris_view,paris_view,view_type
junior_suite_with_spa_access_free_wifi,spa_access,access_type
superior_double_room_with_spa_access_free_wifi,spa_access,access_type
deluxe_double_room_with_spa_access_free_wifi,spa_access,access_type
comfort_family_room,family_trip,trip_type
deluxe_pantheon_room,deluxe_room,room_type
superior_pantheon_room,superior_room,room_type
suite_cocotte,suite,other_room_types
superior_room_with_balcony,balcony_room,room_type
garden_king_room,king_room,room_type
garden_twin_room,twin_room,room_type
suite_with_balcony,balcony_room,room_type
superior_double_room_ground_floor,double_room,room_type
club_room,other_room,room_type
king_guest_room_wheelchair_accessible,accessibility,accessibility
junior_suite_with_lounge_access,lounge_access,access_type
one_bedroom_suite_with_lounge_access,lounge_access,access_type
deluxe_king_room_wheelchair_accessible,accessibility,accessibility
deluxe_junior_suite_with_lounge_access,lounge_access,access_type
executive_twin_room_with_lounge_access,lounge_access,access_type
deluxe_twin_room_with_eiffel_tower_view,paris_view,view_type
deluxe_eiffel_twin,deluxe_room,room_type
suite_with_eiffel_tower_view,paris_view,view_type
double_family_guestroom,family_trip,trip_type
accessible_queen_guest_room,accessibility,accessibility
triple_family_guestroom,family_trip,trip_type
deluxe_premium_king_room,king_room,room_type
family_room_with_two_double_beds,family_trip,trip_type
deluxe_double_twin_room,double_room,room_type
double_room_trocad_ro_with_spa_bath,spa_access,access_type
double_room_op_ra_garnier_with_spa_bath,spa_access,access_type
double_room_d_couverte,double_room,room_type
double_room_moulin_rouge_with_shower,double_room,room_type
